Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
GTLG11,Logística,6399,"13,75%","0,00%",70,459.000.000,0,5,"2.714,27",31812,"11,72%","1,69%"
GTWR11,Lajes Corporativas,6880,"14,26%","13,85%",69,825.600.000,906.574,3,"4.962,91",76191,"15,35%","0,00%"
GURB11,Híbrido,10800,"10,46%","0,00%",94,122.597.000,0,2,"21.746,70","2.369,56","10,90%","9,70%"
GWIR11,Shoppings,17599,"2,80%","0,00%",74,67.231.200,0,0,000,000,"4,21%","0,00%"
GZIT11,Híbrido,4947,"-3,49%","18,60%",54,1.080.490.000,638.581,4,"10.782,30","1.309,05","12,14%","2,40%"
HAAA11,Lajes Corporativas,2528,"7,83%","6,44%",34,87.342.400,219,2,"6.637,01","1.068,61","16,10%","15,64%"
HABT11,Títulos e Val. Mob.,8023,"13,86%","16,62%",86,652.012.000,784.074,0,000,000,"0,00%","0,00%"
HBCR11,Outros,13561,"7,26%","18,20%",110,216.976.000,507.061,2,"2.184,00",39800,"18,22%","0,00%"
HBRH11,Híbrido,9080,"4,63%","0,00%",81,256.345.000,0,5,"8.349,82",60690,"7,27%","2,83%"
HBTT11,Títulos e Val. Mob.,"1.055,00","6,53%","0,00%",119,190.126.000,0,0,000,000,"0,00%","0,00%"
HCHG11,Outros,7600,"9,12%","12,47%",80,91.200.000,50.789,0,000,000,"0,00%","0,00%"
HCRI11,Hospital,25032,"12,28%","12,35%",77,50.064.000,35.602,1,"8.996,65","1.203,75","13,38%","0,00%"
HCTR11,Títulos e Val. Mob.,2151,"21,36%","21,38%",21,475.031.000,1.540.640,0,000,000,"0,00%","0,00%"
HDEL11,Logística,9900,"22,92%","30,76%",214,83.160.000,59,1,"4.711,95",25858,"5,49%","0,00%"
HFOF11,Títulos e Val. Mob.,5657,"11,48%","12,48%",83,1.303.710.000,2.170.430,0,000,000,"0,00%","0,00%"
HGAG11,Outros,1541,"78.389,38%","11,23%",64,324,1.334,0,000,000,"0,00%","0,00%"
HGBL11,Logística,865,"6,42%","17,71%",93,206.779.000,1.214.110,1,"1.607,62",19248,"11,97%","5,00%"
HGBS11,Shoppings,19490,"8,14%","10,00%",90,2.516.800.000,2.494.700,16,"4.401,15",39121,"8,89%","4,89%"
HGCR11,Títulos e Val. Mob.,9600,"12,09%","12,06%",100,1.480.140.000,2.369.870,0,000,000,"0,00%","0,00%"
HGFF11,Títulos e Val. Mob.,7156,"12,31%","12,42%",88,204.919.000,317.548,0,000,000,"0,00%","0,00%"
HGIC11,Títulos e Val. Mob.,7600,"7,58%","14,70%",69,35.165.700,23.370,2,"1.597,85",000,"0,00%","0,00%"
HGJH11,Lajes Corporativas,19129,"9,55%","0,00%",55,335.342.000,0,2,"26.273,60","2.781,84","10,59%","3,42%"
HGLG11,Logística,15990,"6,83%","8,19%",98,5.402.630.000,6.746.100,27,"3.283,97",24821,"7,56%","6,68%"
HGPO11,Lajes Corporativas,13200,"8,29%","20,61%",97,231.404.000,224.760,0,000,000,"0,00%","0,00%"
HGRE11,Lajes Corporativas,11670,"6,34%","8,74%",76,1.379.130.000,1.719.200,14,"7.273,21",69731,"9,59%","22,88%"
HGRU11,Híbrido,12134,"8,19%","9,69%",95,2.819.700.000,4.623.910,106,"4.446,90",29854,"6,71%","0,81%"
HILG11,Outros,19861,"8,35%","7,13%",97,104.519.000,0,1,"3.166,42",33160,"10,47%","0,00%"
HLOG11,Logística,7998,"5,49%","7,19%",72,339.915.000,61.028,4,"1.667,20",18460,"11,07%","2,96%"
HMOC11,Shoppings,22695,"2,17%","0,00%",95,86.698.800,0,0,000,000,"3,27%","0,00%"
HOFC11,Lajes Corporativas,2427,"1,02%","1,72%",37,91.716.400,105.014,4,"2.171,57",39654,"18,26%","47,88%"
HOSI11,Híbrido,8627,"9,72%","9,14%",95,49.471.500,254.300,2,000,000,"0,00%","0,00%"
HPDP11,Shoppings,9056,"7,04%","7,11%",97,297.761.000,2.155.140,1,"2.197,30",16362,"7,45%","1,02%"
HRDF11,Híbrido,319,"-0,24%","0,00%",41,4.840.590,100,0,000,000,"0,00%","0,00%"
HREC11,Títulos e Val. Mob.,833,"11,12%","11,76%",97,430.544.000,653.465,0,000,000,"0,00%","0,00%"
HRES11,Híbrido,14925,"12,86%","14,21%",116,69.885.100,0,0,000,000,"0,00%","0,00%"
HSAF11,Títulos e Val. Mob.,7969,"13,88%","13,63%",91,201.326.000,290.679,0,000,000,"0,00%","0,00%"
HSLG11,Logística,8130,"10,93%","10,49%",76,1.029.260.000,501.952,5,"2.442,53",27830,"11,39%","0,00%"
HSML11,Shoppings,8370,"8,28%","10,83%",77,1.741.680.000,2.305.800,13,"7.292,95",83511,"11,45%","2,92%"
HSRE11,Híbrido,10200,"6,83%","10,04%",112,907.670.000,3.495.490,24,"7.060,27",63241,"8,96%","0,00%"
HTMX11,Hotel,13852,"3,08%","16,72%",95,400.059.000,1.065.880,20,"8.979,21",48970,"5,45%","0,00%"
HUCG11,Hospital,9678,"-0,30%","0,00%",94,108.587.000,480,2,"3.780,59",000,"0,00%","0,00%"
HUSC11,Outros,9715,"11,45%","10,83%",64,82.657.300,7.287,1,"1.109,51",15489,"13,96%","0,00%"
HUSI11,Hospital,"1.230,00","8,24%","8,11%",99,143.125.000,62,1,"6.998,34",62607,"8,95%","0,00%"
IAAG11,Títulos e Val. Mob.,745,"10,84%","15,57%",77,77.883.600,105.185,0,000,000,"0,00%","0,00%"
IAGR11,Outros,406,"-0,69%","3,48%",63,11.359.600,38.730,0,000,000,"0,00%","0,00%"
IBBP11,Outros,800,"5,20%","3,62%",91,244.231.000,1.107,24,71515,5556,"7,77%","0,21%"
